date,time,home_team,away_team,venue,stadium_details
20241126,3:00 pm,Barcelona,Brest,Estadi Olimpic Lluis Companys,"('Barcelona', 'Spain')"
20241126,3:00 pm,Bayern Munich,PSG,Allianz Arena,"('Munich', 'Germany')"
20241126,3:00 pm,Sporting CP,Arsenal,Jose Alvalde,"('Lisbon', 'Portugal')"
20241127,12:45 pm,Red Star Belgrade,Stuttgart,Stadion Rajko Mitic,"('Belgrade', 'Serbia')"
20241127,12:45 pm,SK Sturm Graz,Girona,Merkur Arena,"('Graz', 'Austria')"
20241127,3:00 pm,Aston Villa,Juventus,Villa Park,"('Birmingham', 'England')"
20241127,3:00 pm,Bologna,Lille,Renato Dall'Ara,"('Bologna', 'Italy')"
20241127,3:00 pm,Monaco,Benfica,Stade Louis II,"('Monaco', 'Monaco')"
20241127,3:00 pm,Dinamo Zagreb,Borussia Dortmund,Stadion Maksimir,"('Zagreb', 'Croatia')"
20241127,3:00 pm,Liverpool,Real Madrid,Anfield,"('Liverpool', 'England')"
20241127,3:00 pm,Celtic,Club Brugge,Celtic Park,"('Glasgow', 'Scotland')"
20241127,3:00 pm,PSV,Shakhtar Donetsk,Philips Stadion,"('Eindhoven', 'Netherlands')"
20241210,12:45 pm,Dinamo Zagreb,Celtic,Stadion Maksimir,"('Zagreb', 'Croatia')"
20241210,12:45 pm,Girona,Liverpool,Estadi Municipal de Montilivi,"('Girona', 'Spain')"
20241210,3:00 pm,Bayer Leverkusen,Inter,BayArena,"('Leverkusen', 'Germany')"
20241210,3:00 pm,Atalanta,Real Madrid,Gewiss Stadium,"('Bergamo', 'Italy')"
20241210,3:00 pm,Club Brugge,Sporting CP,Jan Breydelstadion,"('Bruges', 'Belgium')"
20241210,3:00 pm,RB Salzburg,PSG,Red Bull Arena,"('Salzburg', 'Austria')"
20241210,3:00 pm,Brest,PSV,Stade du Roudourou,"('Guingamp', 'France')"
20241210,3:00 pm,Shakhtar Donetsk,Bayern Munich,Veltins-Arena,"('Gelsenkirchen', 'Germany')"
20241210,3:00 pm,RB Leipzig,Aston Villa,Red Bull Arena,"('Salzburg', 'Austria')"
20241211,12:45 pm,Atletico Madrid,Slovan Bratislava,Estadio Civitas Metropolitano,"('Madrid', 'Spain')"
20241211,12:45 pm,Lille,SK Sturm Graz,Stade Pierre Mauroy,"('Lille', 'France')"
20241211,3:00 pm,Borussia Dortmund,Barcelona,Signal Iduna Park,"('Dortmund', 'Germany')"
20241211,3:00 pm,Stuttgart,Young Boys,Mercedes-Benz Arena,"('Stuttgart', 'Germany')"
20241211,3:00 pm,Juventus,Manchester City,Allianz Stadium,"('Turin', 'Italy')"
20241211,3:00 pm,AC Milan,Red Star Belgrade,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20241211,3:00 pm,Feyenoord,Sparta Praha,Stadion Feijenoord,"('Rotterdam', 'Netherlands')"
20241211,3:00 pm,Arsenal,Monaco,Emirates Stadium,"('London', 'England')"
20241211,3:00 pm,Benfica,Bologna,Estadio do Sport Lisboa e Benfica,"('Lisbon', 'Portugal')"
20250121,12:45 pm,Atalanta,SK Sturm Graz,Gewiss Stadium,"('Bergamo', 'Italy')"
20250121,12:45 pm,Monaco,Aston Villa,Stade Louis II,"('Monaco', 'Monaco')"
20250121,3:00 pm,Bologna,Borussia Dortmund,Renato Dall'Ara,"('Bologna', 'Italy')"
20250121,3:00 pm,Atletico Madrid,Bayer Leverkusen,Estadio Civitas Metropolitano,"('Madrid', 'Spain')"
20250121,3:00 pm,Club Brugge,Juventus,Jan Breydelstadion,"('Bruges', 'Belgium')"
20250121,3:00 pm,Red Star Belgrade,PSV,Stadion Rajko Mitic,"('Belgrade', 'Serbia')"
20250121,3:00 pm,Liverpool,Lille,Anfield,"('Liverpool', 'England')"
20250121,3:00 pm,Benfica,Barcelona,Estadio do Sport Lisboa e Benfica,"('Lisbon', 'Portugal')"
20250121,3:00 pm,Slovan Bratislava,Stuttgart,Stadion Tehelne pole,"('Bratislava', 'Slovakia')"
20250122,12:45 pm,Shakhtar Donetsk,Brest,Veltins-Arena,"('Gelsenkirchen', 'Germany')"
20250122,12:45 pm,RB Leipzig,Sporting CP,Red Bull Arena,"('Salzburg', 'Austria')"
20250122,3:00 pm,PSG,Manchester City,Parc des Princes,"('Paris', 'France')"
20250122,3:00 pm,AC Milan,Girona,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20250122,3:00 pm,Feyenoord,Bayern Munich,Stadion Feijenoord,"('Rotterdam', 'Netherlands')"
20250122,3:00 pm,Sparta Praha,Inter,epet ARENA,"('Prague', 'Czech Republic')"
20250122,3:00 pm,Arsenal,Dinamo Zagreb,Emirates Stadium,"('London', 'England')"
20250122,3:00 pm,Celtic,Young Boys,Celtic Park,"('Glasgow', 'Scotland')"
20250122,3:00 pm,Real Madrid,RB Salzburg,Santiago Bernabéu,"('Madrid', 'Spain')"
20250129,3:00 pm,Aston Villa,Celtic,Villa Park,"('Birmingham', 'England')"
20250129,3:00 pm,Inter,Monaco,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20250129,3:00 pm,SK Sturm Graz,RB Leipzig,Merkur Arena,"('Graz', 'Austria')"
20250129,3:00 pm,Sporting CP,Bologna,Jose Alvalde,"('Lisbon', 'Portugal')"
20250129,3:00 pm,PSV,Liverpool,Philips Stadion,"('Eindhoven', 'Netherlands')"
20250129,3:00 pm,Bayern Munich,Slovan Bratislava,Allianz Arena,"('Munich', 'Germany')"
20250129,3:00 pm,Barcelona,Atalanta,Estadi Olimpic Lluis Companys,"('Barcelona', 'Spain')"
20250129,3:00 pm,Lille,Feyenoord,Stade Pierre Mauroy,"('Lille', 'France')"
20250129,3:00 pm,Young Boys,Red Star Belgrade,Stade de Suisse Wankdorf,"('Bern', 'Switzerland')"
20250129,3:00 pm,Manchester City,Club Brugge,Etihad Stadium,"('Manchester', 'England')"
20250129,3:00 pm,Brest,Real Madrid,Stade du Roudourou,"('Guingamp', 'France')"
20250129,3:00 pm,RB Salzburg,Atletico Madrid,Red Bull Arena,"('Salzburg', 'Austria')"
20250129,3:00 pm,Dinamo Zagreb,AC Milan,Stadion Maksimir,"('Zagreb', 'Croatia')"
20250129,3:00 pm,Juventus,Benfica,Allianz Stadium,"('Turin', 'Italy')"
20250129,3:00 pm,Stuttgart,PSG,Mercedes-Benz Arena,"('Stuttgart', 'Germany')"
20250129,3:00 pm,Bayer Leverkusen,Sparta Praha,BayArena,"('Leverkusen', 'Germany')"
20250129,3:00 pm,Borussia Dortmund,Shakhtar Donetsk,Signal Iduna Park,"('Dortmund', 'Germany')"
20250129,3:00 pm,Girona,Arsenal,Estadi Municipal de Montilivi,"('Girona', 'Spain')"
